customer_id,week_bucket,month_bucket,activity_id,category,sub_category,channel,owner_type,reason_codes
C001,2024-W01,2024-01,TRU_BTS_002,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W02,2024-01,POL_SVC_002,Policy Journey,Servicing Touchpoints,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W03,2024-01,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W04,2024-01,MAT_DAY_002,Maturity,Maturity Date,Branch,BranchOps,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W05,2024-01,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W06,2024-02,COM_PROD_001,Community & Connections,Product Milestones,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W07,2024-02,COM_STO_001,Community & Connections,Customer Stories / Advocacy,Portal,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W08,2024-02,COM_STO_002,Community & Connections,Customer Stories / Advocacy,Portal,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W09,2024-02,TRU_AWD_001,Trust & Touchpoints,Recognition & Awards,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W10,2024-03,TRU_BTS_002,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W11,2024-03,POL_SVC_002,Policy Journey,Servicing Touchpoints,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W12,2024-03,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W13,2024-03,POL_CLM_001,Policy Journey,Claims and Assistance,Portal,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W14,2024-04,POL_CLM_002,Policy Journey,Claims and Assistance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W15,2024-04,POL_REN_001,Policy Journey,Renewals,Telecalling,CallCentre,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W16,2024-04,POL_UPD_001,Policy Journey,Policy Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W17,2024-04,POL_UPD_002,Policy Journey,Policy Updates,Portal,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W18,2024-04,TRU_TRN_001,Trust & Touchpoints,Transparency Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W19,2024-05,TRU_BTS_002,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W20,2024-05,POL_SVC_002,Policy Journey,Servicing Touchpoints,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W21,2024-05,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W22,2024-05,LOY_ADV_002,"Loyalty, Rewards & Access",Access to Advice,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W23,2024-06,MAT_POST_002,Maturity,Post-Maturity,Telecalling,CallCentre,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-W24,2024-06,MAT_T2_001,Maturity,T-2 & T-1 Months,Telecalling,CallCentre,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-W01,2024-01,TRU_BTS_001,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
